"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
1,"Creative Vintage Loft in S. Williamsburg",806774,"Ali & SweetPea","Brooklyn","Williamsburg",40.70667,-73.96524,"Entire home/apt",2,86,"5/16/2019",0.89,2,15
2,"2 beds in nice rooms, JFK&LGA 15 minutes",101657794,"Dr. Shirin","Queens","Briarwood",40.70988,-73.80691,"Private room",2,38,"6/16/2019",1.53,6,365
3,"1 Bedroom Apartment Near ESB",211549023,"Studioplus","Manhattan","Midtown",40.74747,-73.98668,"Entire home/apt",2,7,"6/13/2019",0.84,13,276
4,"Cozy Groundfloor Apartment w/Garden",22169347,"Laura","Brooklyn","Crown Heights",40.6758,-73.95578,"Entire home/apt",4,6,"8/27/2018",0.16,1,0
5,"Noho High Rise w/ Private Terrace",221071115,"Ty","Manhattan","Greenwich Village",40.72836,-73.99925,"Entire home/apt",7,0,NA,NA,1,80
6,"Urban Jungle in Bedford Stuyvesant",6841194,"Eric","Brooklyn","Bushwick",40.68909,-73.9173,"Entire home/apt",2,240,"6/11/2019",3.53,2,242
7,"3rd Floor Art",183707967,"Dionyssios","Manhattan","Washington Heights",40.85419,-73.93013,"Entire home/apt",2,38,"5/28/2019",3.3,4,176
8,"Tidy, Private Room in Brooklyn, a Commuter's Dream",45451107,"Jamie","Brooklyn","Fort Greene",40.68445,-73.97168,"Private room",2,54,"5/27/2019",1.44,1,0
9,"Sunny & spacious NYC Apartment",377361,"Zed","Manhattan","East Village",40.72456,-73.98004,"Entire home/apt",3,25,"5/23/2017",0.4,1,0
10,"Cozy Upper East Side 1 bedroom apt",47408505,"Anya","Manhattan","Upper East Side",40.77038,-73.95829,"Entire home/apt",4,4,"5/14/2016",0.09,1,0
11,"Rustic & Wabi-sabi Minimal Apt. w/ Terrace",7348150,"Stephanie","Manhattan","Nolita",40.72294,-73.99526,"Entire home/apt",1,23,"11/27/2018",0.95,1,0
12,"Beautiful apartment - easy access to all",175116422,"Karilyn","Staten Island","Grant City",40.57879,-74.11043,"Entire home/apt",3,81,"7/4/2019",5.09,3,272
13,"A Very Special Apt - Lots of Light and Space",267989178,"Seza","Manhattan","Kips Bay",40.74318,-73.97916,"Entire home/apt",2,0,NA,NA,1,254
14,"Modern 4story building w/private bathroom elavator",222909571,"Jordan","Brooklyn","Bedford-Stuyvesant",40.67921,-73.93975,"Private room",2,3,"1/2/2019",0.37,1,329
15,"Large Furnished Rm. Near the Park",10580223,"Andy","Brooklyn","Flatbush",40.65345,-73.9566,"Private room",1,1,"10/4/2016",0.03,2,250
16,"The Come On Inn",3740621,"Jonathan","Manhattan","Harlem",40.81465,-73.94265,"Private room",1,40,"6/3/2019",4.26,2,66
17,"Prolonged Traveler's Dream(a month first & more)",32164030,"Ikkyukim","Bronx","Hunts Point",40.81227,-73.88871,"Private room",30,5,"9/30/2018",0.37,6,329
18,"Overnight place in East Side Manhattan",209386156,"Abraham","Manhattan","East Harlem",40.799,-73.94107,"Shared room",2,23,"6/30/2019",2.12,9,10
19,"Private room near Lincoln Center",50165193,"Stephanie","Manhattan","Upper West Side",40.77567,-73.9786,"Private room",21,2,"8/20/2016",0.05,1,281
20,"Newly Renovated One Bedroom",10087095,"Brian","Manhattan","Little Italy",40.7193,-73.99781,"Entire home/apt",3,41,"6/10/2019",0.6,1,0
21,"Furnished and Finished Basement Entire Place SAFE",122044895,"Yerddy","Bronx","Wakefield",40.89382,-73.84844,"Entire home/apt",30,7,"5/31/2019",0.69,2,188
22,"New 4 bedroom Sunny Boutique Apt Steps from Train",39808438,"Easton","Brooklyn","Bushwick",40.68899,-73.91616,"Entire home/apt",2,0,NA,NA,5,358
